http://twitter.com/ashin945/status/470568243485081602,http://youtu.be/qX2GsMj7154hd=1
fok_candy,
HuangJiuen,
BabyCy_1202,
stephanielovemp,
woudowsnow,
m12345679660,
donna_ashin0227,
G19790118Kocho,
ccm80406,
ChanJudy0111,
7QbOVpvBemuKa70,
aprilsixteenday,
anyzx3223,
jh1595jh,
womawoma9505,
bonnie7235,
971081,
ivyliu1224,
Lemon_MayDay_,
sally_wai,
ktliu999,
love01895,
uqesnf72015,
maggie168894,
twmj83yihoy,
http://twitter.com/ashin945/status/473132721246441473,http://t.co/91GZsfdBIq
chc737,
ChanJudy0111,
MaydayAnnie,
vpxbzpiAt6s0Ox1,
jennymayday5,
6Pe1007,
ktliu999,
maggie20020301,
qwer579134,
lkk0628i,
nina735869,
TszChingmayday,
winnie0532,
cpu89082917123,
sstella85117tw,
ChangJean86,
dana78558032,
joy120605,
maple20sky,
kk10260819,
chloewck,
Heymylife0920,
michelle96275,
FokCandy,
hsinstar555,
http://twitter.com/AShinOfficial/status/475860861949444096,http://youtu.be/UcKtBSlfpRU?hd=1
fok_candy,
HuangJiuen,
BabyCy_1202,
stephanielovemp,
woudowsnow,
m12345679660,
wei0955,
7QbOVpvBemuKa70,
donna_ashin0227,
G19790118Kocho,
ccm80406,
ChanJudy0111,
vpxbzpiAt6s0Ox1,
s940086871124,
anyzx3223,
jh1595jh,
880319dai,
sonjashiyi,
971081,
ivyliu1224,
Lemon_MayDay_,
aikooo331166,
maggie168894,
twmj83yihoy,
yongweisee,
http://twitter.com/ashin945/status/476673485163352064,http://youtu.be/UcKtBSlfpRU?hd=1
c074cd1b07664e6,
ChanJudy0111,
MaydayAnnie,
vpxbzpiAt6s0Ox1,
aprilsixteenday,
jennymayday5,
6Pe1007,
yongweisee,
maggie20020301,
qwer579134,
giiceChen,
chc737,
gmi57788,
ccbaby88923goo,
Wu_Shengyi,
cpu89082917123,
sstella85117tw,
ChangJean86,
dana78558032,
maple20sky,
q96113,
dreamplume0221,
Ching_9f,
nora_0722,
chloewck,
http://twitter.com/ashin945/status/478521199069122561,http://youtu.be/UcKtBSlfpRU?hd=1
c4af60138fb54fc,
ChanJudy0111,
MaydayAnnie,
vpxbzpiAt6s0Ox1,
aprilsixteenday,
jennymayday5,
6Pe1007,
yongweisee,
qwer579134,
chc737,
aa40420tw,
lkk0628i,
ccbaby88923goo,
maggie20020301,
mayday92329,
Wu_Shengyi,
cpu89082917123,
Jan_1220,
sstella85117tw,
ChangJean86,
e0939231539,
yoyoyoyoyoyo6yo,
maple20sky,
angela131401,
carolinerkimo,
http://twitter.com/AShinOfficial/status/479288101890576385,http://youtu.be/tSiDpPu3Uhs?hd=1
fok_candy,
HuangJiuen,
K7k6H42el7tUqYm,
BabyCy_1202,
stephanielovemp,
woudowsnow,
m12345679660,
7QbOVpvBemuKa70,
donna_ashin0227,
yunnnfang,
G19790118Kocho,
ccm80406,
ChanJudy0111,
vpxbzpiAt6s0Ox1,
candy112923,
aprilsixteenday,
anyzx3223,
jh1595jh,
bonnie7235,
khhuangq,
971081,
dandan_grace,
ivyliu1224,
Lemon_MayDay_,
lmj13709695025,
http://twitter.com/KKBOX_JP/status/507510192406138882,http://goo.gl/9MZOX2
c99a6d1a8ce645f,
aprilsixteenday,
Anti_Korea_JP,
jennymayday5,
pp0366411951,
yongweisee,
lunatou,
carolinerkimo,
qwer579134,
lovemayday459,
4bf2f8376b414bb,
ccbaby88923goo,
a0973478041,
solitachin,
chc737,
nine78993,
qsan_sunny,
love12062096,
ChangJean86,
jinyihan10,
xo78786982448,
volin1020,
BinMUSIC_jpn,
iashin5231,
daidai_chen,
http://twitter.com/ashin945/status/482561616362237952,https://www.youtube.com/watch?v=UcKtBSlfpRU
c99a6d1a8ce645f,
ChanJudy0111,
MaydayAnnie,
vpxbzpiAt6s0Ox1,
aprilsixteenday,
jennymayday5,
6Pe1007,
yongweisee,
qwer579134,
SzabErika4,
chc737,
ccbaby88923goo,
maggie20020301,
Wu_Shengyi,
winnie0532,
cpu89082917123,
Jan_1220,
candy930607,
sstella85117tw,
ChangJean86,
yoyoyoyoyoyo6yo,
kjhg8953,
maple20sky,
hinatashun,
carolinerkimo,
http://twitter.com/ashin945/status/483986856422285312,http://www.facebook.com/photo.php?v=291734830847690
l301521,
c99a6d1a8ce645f,
ChanJudy0111,
MaydayAnnie,
vpxbzpiAt6s0Ox1,
star861122,
smilevanny,
minfreestar,
jennymayday5,
6Pe1007,
std510,
yongweisee,
qwer579134,
style7292,
chc737,
cindy5524331,
ccbaby88923goo,
nina735869,
maggie20020301,
Wu_Shengyi,
winnie0532,
cpu89082917123,
Jan_1220,
candy930607,
sstella85117tw,
http://twitter.com/AShinOfficial/status/485475262092439553,http://www.facebook.com/iSTAYREAL
fok_candy,
HuangJiuen,
K7k6H42el7tUqYm,
stephanielovemp,
prirupei,
woudowsnow,
wys543348,
m12345679660,
pan1749,
7QbOVpvBemuKa70,
donna_ashin0227,
d01060722,
fairy920025,
G19790118Kocho,
ccm80406,
ChanJudy0111,
peijuneyo,
vpxbzpiAt6s0Ox1,
aprilsixteenday,
jh1595jh,
880319dai,
HSUTINGG,
Lobita_xu95,
yawangyui,
971081,
http://twitter.com/ashin945/status/486165796687593472,http://goo.gl/YS0dmM
shinkihana11271,
6393013,
c99a6d1a8ce645f,
ChanJudy0111,
MaydayAnnie,
aprilsixteenday,
Michellesinga,
jennymayday5,
6Pe1007,
yongweisee,
103s6104,
qwer579134,
chc737,
kiki062224,
ccbaby88923goo,
maggie20020301,
Wu_Shengyi,
winnie0532,
cpu89082917123,
tele7770338a,
hinting_,
Jan_1220,
Miya_Dino,
sstella85117tw,
ChangJean86,
http://twitter.com/AShinOfficial/status/486507381828771843,http://youtu.be/lvDa3r1pNuE?hd=1
fok_candy,
HuangJiuen,
K7k6H42el7tUqYm,
StaySuriel,
stephanielovemp,
9389b7fa16164ef,
HeidyTeng,
woudowsnow,
wys543348,
m12345679660,
kiki923776,
pan1749,
7QbOVpvBemuKa70,
m026523,
donna_ashin0227,
d01060722,
G19790118Kocho,
ccm80406,
ChanJudy0111,
peijuneyo,
Dr3uKqn,
vpxbzpiAt6s0Ox1,
candy112923,
aprilsixteenday,
jh1595jh,
